api,tool,run,interactions,2XX,4XX,5XX,401,403,covered_operations,unique_5XX,branch_coverage,line_coverage,method_coverage,area_2XX,area_4XX,area_5XX,area_401,area_403,area_covered_operations,area_unique_5XX,area_branch_coverage,area_line_coverage,area_method_coverage
user-management,resttestgen,run-20240531-160424,21000,579,13161,7260,-,-,11,2,0.09341825902335456,0.6360759493670886,0.48058252427184467,65414,1366966,783120,-,-,2062,416,18.269639065817483,128.0522151898729,99.00485436893162
restcountries,deeprest-e20-s20,run-20240605-104808,16300,11126,4966,208,-,-,22,1,0.8909090909090909,0.7771639042357275,0.8465909090909091,891831,429018,15751,-,-,3398,160,138.30454545454546,124.23572744014679,137.3124999999997
blog,arat-rl,run-20240602-132222,25900,4487,13892,7521,-,-,20,11,0.042085427135678394,0.4595959595959596,0.4060446780551905,515779,1896997,954224,-,-,4848,2410,10.318467336683419,115.17340067340042,101.20893561103844
ncs,morest,run-20240604-211740,22000,10733,11267,0,-,-,6,0,0.7202380952380952,0.8181818181818182,0.8620689655172413,1210171,1220829,0,-,-,1176,0,141.73214285714354,156.4763636363636,168.4137931034478
genome-nexus,resttestgen,run-20240531-194400,3900,2218,1682,0,-,-,20,0,0.21877205363443897,0.3297453943282964,0.2929936305732484,47564,30436,0,-,-,745,0,7.56245589273112,11.887186917822408,10.594093804284885
market,arat-rl,run-20240531-192519,20100,10896,4857,4347,-,-,10,16,0.01968503937007874,0.27651858567543064,0.35945945945945945,1103430,492704,433966,-,-,1943,2987,3.822834645669286,54.77017225747973,71.27702702702685
project-tracking-system,morest,run-20240603-142407,21700,180,21110,410,-,-,16,1,0.041666666666666664,0.2950693374422188,0.37945492662473795,20804,2298699,45797,-,-,3337,215,8.791666666666677,63.649460708782975,81.49056603773565
blog,deeprest-e20-s20,run-20240601-112224,25900,5699,12047,8154,-,-,25,12,0.04585427135678392,0.5218855218855218,0.4454664914586071,798970,1544770,1023260,-,-,5897,2967,11.111809045226154,127.83164983164987,110.36268068331111
user-management,deeprest-e20-s20,run-20240531-192149,21000,992,12282,7726,-,-,11,3,0.09235668789808917,0.6740506329113924,0.5169902912621359,175944,1315633,723923,-,-,2249,598,19.0435244161359,138.10759493670858,106.62135922330049
scs,deeprest-e20-s20,run-20240601-111413,21000,19595,1405,0,-,-,11,0,0.4801587301587302,0.688135593220339,0.717948717948718,2060085,155415,0,-,-,2301,0,91.44047619047632,138.596610169492,150.05128205128207
